competition,date,athlete,round,run,trick_order,trick_name,planned_trick,landed,coach_execution_rating,rag_rating,fail_reason,prev_trick_quality,run_completion_pct,run_score,coach_notes,overall_position_after_round
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,1,Backflip Tailwhip,Backflip Tailwhip,Yes,7,Green,,N/A,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,2,Double Barspin,Double Barspin,Yes,8,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,3,Flair,Flair,Yes,9,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,4,720,720,Yes,5,Amber,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,5,Truck Driver,Truck Driver,Yes,7,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,6,Barspin Transfer,Barspin Transfer,Yes,8,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,7,Tailwhip Air,Tailwhip Air,Yes,9,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,8,Turn Down,Turn Down,Yes,9,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,9,360 Table,360 Table,Yes,6,Amber,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,10,Invert,Invert,Yes,6,Amber,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,11,Cash Roll,Cash Roll,Yes,5,Amber,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,12,No Hander,No Hander,Yes,9,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,13,Turndown Air,Turndown Air,Yes,9,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,14,Can Can,Can Can,Yes,9,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,15,Superman,Superman,Yes,7,Green,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,16,Flair Barspin,Flair Barspin,Yes,6,Amber,,Good,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,17,Downside Tailwhip,Downside Tailwhip,No,0,Red,Heavy landing reduced speed,Low,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,18,360 Barspin,360 Barspin,No,0,Red,Crash out,Low,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,19,X-Up Air,X-Up Air,No,0,Red,Run ended after crash,Crash,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,20,One Hand Table,One Hand Table,No,0,Red,Run ended after crash,Crash,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,21,720 Tailwhip Attempt,720 Tailwhip Attempt,No,0,Red,Run ended after crash,Crash,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,22,Truck to Fakie,Truck to Fakie,No,0,Red,Run ended after crash,Crash,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,23,Barspin Rewind,Barspin Rewind,No,0,Red,Run ended after crash,Crash,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,24,Speed Transfer,Speed Transfer,No,0,Red,Run ended after crash,Crash,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,1,25,Double Tailwhip,Double Tailwhip,No,0,Red,Run ended after crash,Crash,64,76,Crash-out affected run flow and completion,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,1,Cash Roll,Cash Roll,Yes,8,Green,,N/A,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,2,Truck Driver,Truck Driver,Yes,9,Green,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,3,Flair,Flair,Yes,6,Amber,,Good,100,95,Full run completed with no missed tricks,3
Montpellier World Cup,12/05/2026,Luca Mercer,Qualification,2,4,Barspin Transfer,Barspin Transfer,Yes,8,Green,,Good,100,95,Full run completed with no missed tricks,3
